mean,std,min,20%,40%,50%,60%,80%,max,median,acfmean,acfstd,acfmedian,qstatmean,qstatstd,qstatmedian,mda,max_index,sma_sim,sma_adv,sma_sim_abs,sma_adv_abs,energy,iqr,entropy,autoreg_coeff,kurtosis,skewness,trace:id,qr
13.878615554,20.2988031313,0.006103515625,2.80558268229,4.5361328125,6.65384928385,8.39029947917,17.0723470052,97.9044596354,6.65384928385,0.00112612612613,0.094203148295,-0.0148592390166,1314.52290834,476.560393455,1199.33211176,5.64964590507,6,13.878615554,6148.22669044,13.878615554,6148.22669044,268055.834538,8.85111490885,5.96995092267,214.727194586,5.130768443051457,2.390950134868894,MaxxTurn45/1539950787.6893477,979
13.6340794419,20.1348491697,0.018310546875,2.86580403646,4.78190104167,6.58569335938,7.95776367188,14.94140625,97.7722167969,6.58569335938,0.00113636363636,0.0957277130721,-0.0137413337404,1343.47935987,438.060657976,1301.0049109,5.28768247282,239,13.6340794419,5985.36087499,13.6340794419,5985.36087499,259766.708107,8.12021891276,5.99064852453,200.393494695,5.425025319674843,2.44634157932596,MaxxTurn45/1539934495.453325,856
13.258268817,20.0229410719,0.00406901041667,2.80721028646,4.72900390625,6.34562174479,7.74169921875,13.3483886719,99.3835449219,6.34562174479,0.00112866817156,0.0952341225473,-0.0191347155755,1346.21337787,531.400523158,1269.64217565,5.17306071927,311,13.258268817,5860.15481712,13.258268817,5860.15481712,255077.120339,7.42594401042,6.00301579727,224.516932364,5.818625754078392,2.513137958235612,MaxxTurn45/1539871593.6375291,802
13.8482463486,20.0020638906,0.00203450520833,2.82796223958,4.58699544271,6.48803710938,8.0224609375,17.4100748698,99.2919921875,6.48803710938,0.00113122171946,0.0945610955198,-0.0131345865552,1314.03458077,509.514462016,1300.61665712,5.38571423572,225,13.8482463486,6107.07663972,13.8482463486,6107.07663972,261200.484613,8.90808105469,6.03367063628,220.2306619,5.16197638205634,2.3685793650952824,MaxxTurn45/1539936672.1011436,874
13.0850917473,19.5327861194,0.0101725260417,2.74210611979,4.31966145833,6.04858398438,7.68717447917,15.9908040365,95.4060872396,6.04858398438,0.00115473441109,0.0956443460177,-0.0195882777551,1291.27489129,454.499398489,1198.81170812,4.98302991734,236,13.0850917473,5652.75963482,13.0850917473,5652.75963482,238958.942981,7.86336263021,5.98387075844,178.210799995,5.726887991412852,2.494155085403314,MaxxTurn45/1539939907.386454,913
13.5241727217,20.3486298963,0.00203450520833,2.83203125,4.66105143229,6.32832845052,7.58666992188,16.0949707031,99.1780598958,6.32832845052,0.00114678899083,0.104261848412,-0.022423434626,1641.94101907,522.969650522,1620.86835732,4.99057082218,77,13.5241727217,5883.01513392,13.5241727217,5883.01513392,259864.847358,7.88726806641,5.97927527394,170.040238611,6.0000473170035615,2.542832213465193,MaxxTurn45/1539864473.3160963,727
14.0328207134,20.3140881532,0.00203450520833,2.87475585938,4.87589518229,6.7372639974,8.17586263021,16.9303385417,99.9471028646,6.7372639974,0.00115740740741,0.099190426894,-0.0225395874988,1414.17053306,471.658381071,1355.54856297,5.51541779895,80,14.0328207134,6048.14572746,14.0328207134,6048.14572746,262926.8632,8.10852050781,5.95893588157,191.970739341,5.248033946333788,2.3882340655667402,MaxxTurn45/1539852972.8482218,660
13.3743893626,19.8576481648,0.00203450520833,2.86254882812,4.64477539062,6.35375976562,8.22306315104,14.8771158854,99.7090657552,6.35375976562,0.00117096018735,0.0942885746012,-0.0137816546988,1202.62591642,442.974159755,1173.5911904,5.13083165218,5,13.3743893626,5697.48986845,13.3743893626,5697.48986845,244362.279392,7.92948404948,5.93100467612,194.670542054,5.917402181205572,2.5232020142986404,MaxxTurn45/1539786140.0293653,520
13.6762518315,19.7591938554,0.006103515625,2.90364583333,4.69645182292,6.59586588542,7.79581705729,16.2129720052,99.1333007812,6.59586588542,0.00118203309693,0.0882534080561,-0.012288818883,977.769771121,374.381072863,969.074875177,5.37817333088,76,13.6762518315,5771.37827291,13.6762518315,5771.37827291,243877.525586,8.29569498698,5.92755535474,232.646906748,5.140984594359059,2.367606983275654,MaxxTurn45/1539952189.0838616,994
13.7459871764,20.1302887283,0.01220703125,2.67211914063,4.90437825521,6.2744140625,8.23974609375,15.9029134115,98.1506347656,6.2744140625,0.0011135857461,0.0927182923096,-0.0158985032461,1292.95018879,427.866687059,1252.92582311,5.35705879733,8,13.7459871764,6158.20225501,13.7459871764,6158.20225501,266381.900269,8.36385091146,6.00239558201,202.353378357,5.082041281793465,2.3755548831744653,MaxxTurn45/1539867240.4088647,760
