trace:id;time_calling;time_done
MaxxTurn45/1539948750.4873638;2018-10-19T13:32:35.579+02:00;2018-10-19T13:36:39.618+02:00
MaxxTurn45/1539783663.3386142;2018-10-17T15:41:10.000+02:00;2018-10-17T15:44:36.000+02:00
MaxxTurn45/1539850831.8287823;2018-10-18T10:20:37.129+02:00;2018-10-18T10:24:15.872+02:00
MaxxTurn45/1539954755.0278454;2018-10-19T15:12:40.224+02:00;2018-10-19T15:16:25.293+02:00
MaxxTurn45/1539848764.2274735;2018-10-18T09:46:10.135+02:00;2018-10-18T09:49:33.951+02:00
MaxxTurn45/1539934004.254481;2018-10-19T09:26:50.021+02:00;2018-10-19T09:31:28.918+02:00
MaxxTurn45/1539936909.149092;2018-10-19T10:15:14.743+02:00;2018-10-19T10:18:50.173+02:00
MaxxTurn45/1539866294.9194806;2018-10-18T14:38:20.359+02:00;2018-10-18T14:41:53.042+02:00
MaxxTurn45/1539862250.1829941;2018-10-18T13:30:55.427+02:00;2018-10-18T13:34:27.428+02:00
MaxxTurn45/1539853960.610241;2018-10-18T11:12:46.454+02:00;2018-10-18T11:16:37.698+02:00
MaxxTurn45/1539949540.1394966;2018-10-19T13:45:45.433+02:00;2018-10-19T13:49:39.970+02:00
MaxxTurn45/1539937152.6355686;2018-10-19T10:19:18.905+02:00;2018-10-19T10:22:56.020+02:00
MaxxTurn45/1539930046.1094997;2018-10-19T08:20:52.094+02:00;2018-10-19T08:25:56.915+02:00
MaxxTurn45/1539788524.298326;2018-10-17T17:02:10.000+02:00;2018-10-17T17:05:36.000+02:00
MaxxTurn45/1539783365.0102794;2018-10-17T15:36:10.000+02:00;2018-10-17T15:39:40.000+02:00
MaxxTurn45/1539868343.1140091;2018-10-18T15:12:28.270+02:00;2018-10-18T15:17:11.581+02:00
MaxxTurn45/1539947296.644961;2018-10-19T13:08:21.758+02:00;2018-10-19T13:12:07.536+02:00
MaxxTurn45/1539767578.14983;2018-10-17T11:13:04.000+02:00;2018-10-17T11:16:31.000+02:00
MaxxTurn45/1539783889.6511242;2018-10-17T15:44:56.000+02:00;2018-10-17T15:48:24.000+02:00
MaxxTurn45/1539849646.9578729;2018-10-18T10:00:52.484+02:00;2018-10-18T10:04:39.875+02:00
MaxxTurn45/1539866060.4621706;2018-10-18T14:34:25.728+02:00;2018-10-18T14:37:59.348+02:00
MaxxTurn45/1539844207.608547;2018-10-18T08:30:13.135+02:00;2018-10-18T08:33:49.426+02:00
MaxxTurn45/1539952189.0838616;2018-10-19T14:29:54.158+02:00;2018-10-19T14:33:53.296+02:00
MaxxTurn45/1539843926.4190855;2018-10-18T08:25:31.886+02:00;2018-10-18T08:28:55.440+02:00
MaxxTurn45/1539779296.4767165;2018-10-17T14:28:21.000+02:00;2018-10-17T14:32:56.000+02:00
MaxxTurn45/1539871358.5164235;2018-10-18T16:02:44.148+02:00;2018-10-18T16:06:21.872+02:00
MaxxTurn45/1539780437.5640476;2018-10-17T14:47:23.000+02:00;2018-10-17T14:54:59.000+02:00
MaxxTurn45/1539860863.408783;2018-10-18T13:07:49.551+02:00;2018-10-18T13:11:23.150+02:00
MaxxTurn45/1539951671.2391338;2018-10-19T14:21:16.654+02:00;2018-10-19T14:25:21.325+02:00
MaxxTurn45/1539855082.6318893;2018-10-18T11:31:27.772+02:00;2018-10-18T11:35:13.062+02:00
MaxxTurn45/1539847878.96713;2018-10-18T09:31:24.241+02:00;2018-10-18T09:35:16.957+02:00
MaxxTurn45/1539952728.4103582;2018-10-19T14:38:53.643+02:00;2018-10-19T14:43:00.928+02:00
MaxxTurn45/1539940147.177461;2018-10-19T11:09:13.218+02:00;2018-10-19T11:12:43.533+02:00
MaxxTurn45/1539866781.6732707;2018-10-18T14:46:27.312+02:00;2018-10-18T14:49:57.868+02:00
MaxxTurn45/1539781379.8105493;2018-10-17T15:03:04.000+02:00;2018-10-17T15:06:46.000+02:00
MaxxTurn45/1539862497.5299973;2018-10-18T13:35:03.636+02:00;2018-10-18T13:38:48.620+02:00
MaxxTurn45/1539789722.2583816;2018-10-17T17:22:08.000+02:00;2018-10-17T17:25:35.000+02:00
MaxxTurn45/1539865728.2194202;2018-10-18T14:28:53.921+02:00;2018-10-18T14:33:59.414+02:00
MaxxTurn45/1539852972.8482218;2018-10-18T10:56:18.873+02:00;2018-10-18T10:59:55.034+02:00
MaxxTurn45/1539775529.087104;2018-10-17T13:25:34.000+02:00;2018-10-17T13:37:51.000+02:00
MaxxTurn45/1539953278.8101358;2018-10-19T14:48:04.486+02:00;2018-10-19T14:52:06.207+02:00
