cn;ok;nok
977;10;2
1010;8;4
670;9;3
806;7;5
452;8;4
658;10;2
721;8;4
989;8;4
676;9;3
634;8;4
863;9;3
959;10;2
896;10;2
431;8;4
983;10;2
866;10;2
694;10;2
785;8;4
767;8;4
839;7;5
607;8;4
706;10;2
803;7;5
640;8;4
548;8;4
779;7;5
749;7;5
998;7;5
725;8;4
854;9;3
842;9;3
404;8;4
443;7;5
944;10;2
971;10;2
616;8;4
545;10;2
473;8;4
715;10;2
509;7;5
512;8;4
652;10;2
503;7;5
482;8;4
902;10;2
1007;9;3
703;11;1
613;8;4
395;0;0
567;9;3
628;8;4
664;9;3
497;8;4
673;7;5
881;10;2
524;8;4
941;9;3
697;10;2
446;7;5
515;8;4
875;10;2
782;7;5
1025;8;4
848;8;4
950;10;2
718;10;2
884;10;2
755;8;4
935;9;3
434;8;4
392;0;0
712;10;2
622;7;5
458;8;4
425;8;4
455;8;4
953;10;2
815;7;5
980;10;2
610;7;5
536;9;3
631;8;4
637;8;4
476;8;4
923;10;2
646;8;4
734;8;4
857;10;2
506;7;5
731;8;4
824;8;4
625;7;5
682;10;2
643;8;4
809;8;4
962;10;2
667;9;3
561;8;4
1004;9;3
407;7;5
1016;8;4
573;8;4
479;7;5
494;7;5
947;10;2
887;10;2
530;8;4
464;8;4
956;10;2
821;8;4
410;0;0
542;8;4
836;7;5
773;8;4
776;8;4
800;7;5
929;9;3
691;10;2
764;8;4
576;8;4
551;8;4
422;8;4
564;8;4
833;7;5
661;10;2
518;8;4
655;10;2
965;10;2
688;10;2
539;8;4
570;8;4
752;8;4
488;8;4
619;9;3
1013;9;3
1022;8;4
932;9;3
700;10;2
737;7;5
437;8;4
995;9;3
1001;8;4
797;8;4
878;9;3
794;8;4
908;10;2
649;8;4
770;8;4
818;8;4
968;10;2
728;8;4
491;8;4
685;10;2
872;10;2
579;8;4
761;8;4
389;0;0
416;8;4
911;10;2
419;9;3
533;8;4
986;10;2
521;8;4
830;8;4
470;8;4
914;10;2
746;8;4
974;10;2
401;8;4
791;7;5
709;10;2
905;10;2
917;10;2
440;8;4
812;8;4
386;0;0
926;0;0
827;8;4
758;8;4
398;8;4
743;8;4
890;10;2
428;7;5
899;10;2
449;8;4
938;9;3
413;8;4
845;9;3
788;8;4
920;10;2
992;8;4
869;10;2
740;8;4
467;9;3
500;7;5
557;8;4
527;9;3
851;10;2
893;10;2
461;8;4
860;8;4
485;8;4
554;8;4
679;10;2
1019;8;4
