,value,timestamp
2018-10-19 12:20:07.666,0.38,1539951607.666
2018-10-19 12:20:19.683,0.4,1539951619.683
2018-10-19 12:20:46.180,0.2,1539951646.18
2018-10-19 12:23:32.489,0.386,1539951812.489
2018-10-19 12:23:38.536,0.4,1539951818.536
2018-10-19 12:23:52.257,0.386,1539951832.257
2018-10-19 12:23:53.111,0.0,1539951833.111
2018-10-19 07:48:36.239,0.38,1539935316.239
2018-10-19 07:48:48.072,0.4,1539935328.072
2018-10-19 07:49:14.837,0.2,1539935354.837
2018-10-19 07:51:53.463,0.386,1539935513.463
2018-10-19 07:51:59.563,0.4,1539935519.563
2018-10-19 07:52:13.536,0.386,1539935533.536
2018-10-19 07:52:14.184,0.0,1539935534.184
2018-10-18 14:20:16.526,0.38,1539872416.526
2018-10-18 14:20:28.539,0.4,1539872428.539
2018-10-18 14:20:55.141,0.2,1539872455.141
2018-10-18 14:23:39.637,0.386,1539872619.637
2018-10-18 14:23:45.664,0.4,1539872625.664
2018-10-18 14:23:59.506,0.386,1539872639.506
2018-10-18 14:24:00.229,0.0,1539872640.229
2018-10-19 08:24:52.696,0.38,1539937492.696
2018-10-19 08:25:04.506,0.4,1539937504.506
2018-10-19 08:25:31.238,0.2,1539937531.238
2018-10-19 08:28:10.740,0.386,1539937690.74
2018-10-19 08:28:16.736,0.4,1539937696.736
2018-10-19 08:28:30.627,0.386,1539937710.627
2018-10-19 08:28:31.348,0.0,1539937711.348
2018-10-19 09:18:47.807,0.38,1539940727.807
2018-10-19 09:18:59.767,0.4,1539940739.767
2018-10-19 09:19:26.285,0.2,1539940766.285
2018-10-19 09:22:07.644,0.386,1539940927.644
2018-10-19 09:22:13.586,0.4,1539940933.586
2018-10-19 09:22:27.323,0.386,1539940947.323
2018-10-19 09:22:28.285,0.0,1539940948.285
2018-10-18 12:21:36.632,0.38,1539865296.632
2018-10-18 12:21:48.474,0.4,1539865308.474
2018-10-18 12:22:15.186,0.2,1539865335.186
2018-10-18 12:24:48.125,0.386,1539865488.125
2018-10-18 12:24:54.311,0.4,1539865494.311
2018-10-18 12:25:08.157,0.386,1539865508.157
2018-10-18 12:25:08.907,0.0,1539865508.907
2018-10-18 09:09:56.814,0.38,1539853796.814
2018-10-18 09:10:08.797,0.4,1539853808.797
2018-10-18 09:10:35.448,0.2,1539853835.448
2018-10-18 09:13:12.677,0.386,1539853992.677
2018-10-18 09:13:18.693,0.4,1539853998.693
2018-10-18 09:13:32.549,0.386,1539854012.549
2018-10-18 09:13:33.334,0.0,1539854013.334
2018-10-17 14:36:06.418,0.38,1539786966.418
2018-10-17 14:36:18.416,0.4,1539786978.416
2018-10-17 14:36:44.940,0.2,1539787004.94
2018-10-17 14:39:19.718,0.386,1539787159.718
2018-10-17 14:39:25.847,0.4,1539787165.847
2018-10-17 14:39:39.856,0.386,1539787179.856
2018-10-17 14:39:40.548,0.0,1539787180.548
2018-10-19 12:43:29.072,0.38,1539953009.072
2018-10-19 12:43:40.976,0.4,1539953020.976
2018-10-19 12:44:07.869,0.2,1539953047.869
2018-10-19 12:47:07.295,0.386,1539953227.295
2018-10-19 12:47:13.399,0.4,1539953233.399
2018-10-19 12:47:27.155,0.386,1539953247.155
2018-10-19 12:47:28.169,0.0,1539953248.169
2018-10-18 13:07:43.659,0.38,1539868063.659
2018-10-18 13:07:55.499,0.4,1539868075.499
2018-10-18 13:08:22.188,0.2,1539868102.188
2018-10-18 13:10:52.290,0.386,1539868252.29
2018-10-18 13:10:58.402,0.4,1539868258.402
2018-10-18 13:11:12.118,0.386,1539868272.118
2018-10-18 13:11:13.111,0.0,1539868273.111
2018-10-19 12:56:56.301,0.38,1539953816.301
2018-10-19 12:57:08.106,0.4,1539953828.106
2018-10-19 12:57:34.812,0.2,1539953854.812
2018-10-19 13:01:04.113,0.386,1539954064.113
2018-10-19 13:01:10.446,0.4,1539954070.446
2018-10-19 13:01:23.976,0.386,1539954083.976
2018-10-19 13:01:25.107,0.0,1539954085.107
2018-10-19 06:34:26.921,0.38,1539930866.921
2018-10-19 06:34:38.811,0.4,1539930878.811
2018-10-19 06:35:05.518,0.2,1539930905.518
2018-10-19 06:39:11.702,0.386,1539931151.702
2018-10-19 06:39:17.882,0.4,1539931157.882
2018-10-19 06:39:31.675,0.386,1539931171.675
2018-10-19 06:39:32.421,0.0,1539931172.421
2018-10-19 07:58:27.027,0.38,1539935907.027
2018-10-19 07:58:38.990,0.4,1539935918.99
2018-10-19 07:59:05.566,0.2,1539935945.566
2018-10-19 08:01:59.913,0.386,1539936119.913
2018-10-19 08:02:05.777,0.4,1539936125.777
2018-10-19 08:02:19.909,0.386,1539936139.909
2018-10-19 08:02:20.394,0.0,1539936140.394
2018-10-18 08:14:30.890,0.38,1539850470.89
2018-10-18 08:14:42.822,0.4,1539850482.822
2018-10-18 08:15:09.501,0.2,1539850509.501
2018-10-18 08:17:57.784,0.386,1539850677.784
2018-10-18 08:18:04.036,0.4,1539850684.036
2018-10-18 08:18:17.714,0.386,1539850697.714
2018-10-18 08:18:18.493,0.0,1539850698.493
2018-10-17 15:26:46.981,0.38,1539790006.981
2018-10-17 15:26:58.994,0.4,1539790018.994
2018-10-17 15:27:25.614,0.2,1539790045.614
2018-10-17 15:31:03.684,0.386,1539790263.684
2018-10-17 15:31:09.701,0.4,1539790269.701
2018-10-17 15:31:23.470,0.386,1539790283.47
2018-10-17 15:31:24.233,0.0,1539790284.233
2018-10-18 07:13:31.750,0.38,1539846811.75
2018-10-18 07:14:03.431,0.4,1539846843.431
2018-10-18 07:14:30.299,0.2,1539846870.299
2018-10-18 07:17:08.876,0.386,1539847028.876
2018-10-18 07:17:14.841,0.4,1539847034.841
2018-10-18 07:17:28.960,0.386,1539847048.96
2018-10-18 07:17:29.468,0.0,1539847049.468
